dataset,model,objective,run_tag,postprocess_objective,metric,mean,std,count,mean_std
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,mAP,0.21879464100306698,0.012792152306352354,3,0.219
sleep,fgru,seg,online_e20_bs32_eval5,seg1,mAP,0.2319394900521989,0.010423767390991425,3,0.232
sleep,fgru,seg,online_e20_bs32_eval5,seg2,mAP,0.2880796219594343,0.006285986802175821,3,0.288
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,mf1,0.339284752771654,0.01491818875604341,3,0.339
sleep,fgru,seg,online_e20_bs32_eval5,seg1,mf1,0.3085069162740129,0.014267262525313126,3,0.309
sleep,fgru,seg,online_e20_bs32_eval5,seg2,mf1,0.37509785669362355,0.0071826277021064845,3,0.375
sleep,fgru,density_custom,online_smoothing_e20_bs32_eval5,density_custom,mAP,0.2578643122754132,,1,0.258
sleep,fgru,density_gau,online_smoothing_e20_bs32_eval5,density_gau,mAP,0.2983390633924616,,1,0.298
sleep,fgru,seg,online_smoothing_e20_bs32_eval5,seg1,mAP,0.2125297157906442,,1,0.213
sleep,fgru,seg,online_smoothing_e20_bs32_eval5,seg2,mAP,0.1958008707770725,,1,0.196
sleep,fgru,density_custom,online_smoothing_e20_bs32_eval5,density_custom,mf1,0.3285812273777471,,1,0.329
sleep,fgru,density_gau,online_smoothing_e20_bs32_eval5,density_gau,mf1,0.3874204197874724,,1,0.387
sleep,fgru,seg,online_smoothing_e20_bs32_eval5,seg1,mf1,0.2459681088529094,,1,0.246
sleep,fgru,seg,online_smoothing_e20_bs32_eval5,seg2,mf1,0.2681354034045262,,1,0.268
sleep,flstm,density_hard,online_e20_bs32_eval5,density_hard,mAP,0.11366602568732803,0.020132020508911927,3,0.114
sleep,flstm,seg,online_e20_bs32_eval5,seg1,mAP,0.2344688188744981,0.014030233944330957,3,0.234
sleep,flstm,seg,online_e20_bs32_eval5,seg2,mAP,0.2536315224319851,0.02182677794876801,3,0.254
sleep,flstm,density_hard,online_e20_bs32_eval5,density_hard,mf1,0.20995313105036958,0.030234080831418625,3,0.210
sleep,flstm,seg,online_e20_bs32_eval5,seg1,mf1,0.34244741513408955,0.01920628741132747,3,0.342
sleep,flstm,seg,online_e20_bs32_eval5,seg2,mf1,0.35922212189757036,0.022089598552821322,3,0.359
sleep,flstm,density_custom,online_smoothing_e20_bs32_eval5,density_custom,mAP,0.1525598470061305,,1,0.153
sleep,flstm,density_gau,online_smoothing_e20_bs32_eval5,density_gau,mAP,0.2323757012515024,,1,0.232
sleep,flstm,seg,online_smoothing_e20_bs32_eval5,seg1,mAP,0.1963051051530054,,1,0.196
sleep,flstm,seg,online_smoothing_e20_bs32_eval5,seg2,mAP,0.1982040324248239,,1,0.198
sleep,flstm,density_custom,online_smoothing_e20_bs32_eval5,density_custom,mf1,0.2461277781514159,,1,0.246
sleep,flstm,density_gau,online_smoothing_e20_bs32_eval5,density_gau,mf1,0.3117394678516552,,1,0.312
sleep,flstm,seg,online_smoothing_e20_bs32_eval5,seg1,mf1,0.2477017188073594,,1,0.248
sleep,flstm,seg,online_smoothing_e20_bs32_eval5,seg2,mf1,0.3386077584468905,,1,0.339
sleep,gru,density_custom,lr3e3_e2,density_custom,mAP,0.0332659705324627,,1,0.033
sleep,gru,density_custom,lr3e3_e2,density_custom,mf1,0.0791698903784621,,1,0.079
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,mAP,0.5952504561796061,,1,0.595
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,mf1,0.6745204800033334,,1,0.675
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,mAP,0.679692928365807,0.008087783360111908,3,0.680
sleep,gru,density_custom,objective_e20_bs32_eval5,density_custom,mAP,0.6049217921533229,0.014206727044011614,3,0.605
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,mAP,0.6602639143633006,0.008800605095736097,3,0.660
sleep,gru,seg,objective_e20_bs32_eval5,seg1,mAP,0.5361049385408868,0.00816023146476677,3,0.536
sleep,gru,seg,objective_e20_bs32_eval5,seg2,mAP,0.575371964498676,0.0039695820381497595,3,0.575
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,mAP,0.5247490334253931,0.00973404365059055,3,0.525
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,mAP,0.543989004862622,0.008979227530694028,3,0.544
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,mAP,0.4243202836528441,0.010896095391925669,3,0.424
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,mAP,0.5246220700647791,0.009700812223296974,3,0.525
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,mf1,0.7274360635554302,0.004638765043955209,3,0.727
sleep,gru,density_custom,objective_e20_bs32_eval5,density_custom,mf1,0.6837696628380515,0.007687431524943974,3,0.684
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,mf1,0.7138346445776632,0.0055546839553716814,3,0.714
sleep,gru,seg,objective_e20_bs32_eval5,seg1,mf1,0.6356527907565278,0.0071744374863807045,3,0.636
sleep,gru,seg,objective_e20_bs32_eval5,seg2,mf1,0.6598555631906967,0.0021537691882685937,3,0.660
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,mf1,0.6304593904567924,0.011278300260865801,3,0.630
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,mf1,0.6332643408434395,0.010982574237964901,3,0.633
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,mf1,0.5330770997369766,0.01250006772651218,3,0.533
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,mf1,0.6159680338513611,0.009416499822888433,3,0.616
sleep,gru,density_custom,prior_none_e20_bs32_eval5,density_custom,mAP,0.0162397823685069,0.0020771950969920645,3,0.016
sleep,gru,density_custom,prior_none_e20_bs32_eval5,density_custom,mf1,0.04589114028838134,0.003809178591580724,3,0.046
sleep,gru,density_custom,prior_sparse_e20_bs32_eval5,density_custom,mAP,0.6049217921533229,0.014206727044011614,3,0.605
sleep,gru,density_custom,prior_sparse_e20_bs32_eval5,density_custom,mf1,0.6837696628380515,0.007687431524943974,3,0.684
sleep,gru,density_custom,tol05_e20_bs32_eval5,density_custom,mAP,0.6398977624552431,,1,0.640
sleep,gru,density_custom,tol05_e20_bs32_eval5,density_custom,mf1,0.7039795851272769,,1,0.704
sleep,gru,density_custom,tol15_e20_bs32_eval5,density_custom,mAP,0.5634040205543966,,1,0.563
sleep,gru,density_custom,tol15_e20_bs32_eval5,density_custom,mf1,0.6524127531931866,,1,0.652
sleep,transformer_4l_64h_4a,density_hard,transformer_offline_e20_bs32_eval5,density_hard,mAP,0.0311179818635461,0.005445830432384074,3,0.031
sleep,transformer_4l_64h_4a,seg,transformer_offline_e20_bs32_eval5,seg1,mAP,0.3743279389121394,0.005217813433293652,3,0.374
sleep,transformer_4l_64h_4a,seg,transformer_offline_e20_bs32_eval5,seg2,mAP,0.39124262461395193,0.0015461448281492273,3,0.391
sleep,transformer_4l_64h_4a,density_hard,transformer_offline_e20_bs32_eval5,density_hard,mf1,0.07303866900098198,0.012352475863784152,3,0.073
sleep,transformer_4l_64h_4a,seg,transformer_offline_e20_bs32_eval5,seg1,mf1,0.5220597902159166,0.004931836419391426,3,0.522
sleep,transformer_4l_64h_4a,seg,transformer_offline_e20_bs32_eval5,seg2,mf1,0.5048459048824178,0.0022805685785675274,3,0.505
sleep,transformer_6l_128h_8a_10d,density_hard,transformer_strong_lr5e4_wd1e2_e20_bs8_eval5,density_hard,mAP,0.0129661525563893,,1,0.013
sleep,transformer_6l_128h_8a_10d,density_custom,transformer_strong_lr5e4_wd1e2_e20_bs8_eval5,density_custom,mAP,0.0130677127765935,,1,0.013
sleep,transformer_6l_128h_8a_10d,density_gau,transformer_strong_lr5e4_wd1e2_e20_bs8_eval5,density_gau,mAP,0.0132780603954506,,1,0.013
sleep,transformer_6l_128h_8a_10d,seg,transformer_strong_lr5e4_wd1e2_e20_bs8_eval5,seg1,mAP,0.308356875159397,,1,0.308
sleep,transformer_6l_128h_8a_10d,seg,transformer_strong_lr5e4_wd1e2_e20_bs8_eval5,seg2,mAP,0.2993301751750457,,1,0.299
sleep,transformer_6l_128h_8a_10d,density_hard,transformer_strong_lr5e4_wd1e2_e20_bs8_eval5,density_hard,mf1,0.0340369495685972,,1,0.034
sleep,transformer_6l_128h_8a_10d,density_custom,transformer_strong_lr5e4_wd1e2_e20_bs8_eval5,density_custom,mf1,0.0340330294929103,,1,0.034
sleep,transformer_6l_128h_8a_10d,density_gau,transformer_strong_lr5e4_wd1e2_e20_bs8_eval5,density_gau,mf1,0.0347432380858008,,1,0.035
sleep,transformer_6l_128h_8a_10d,seg,transformer_strong_lr5e4_wd1e2_e20_bs8_eval5,seg1,mf1,0.4557443155908243,,1,0.456
sleep,transformer_6l_128h_8a_10d,seg,transformer_strong_lr5e4_wd1e2_e20_bs8_eval5,seg2,mf1,0.4464706933361079,,1,0.446
sleep,unet,density_hard,objective_e20_bs32_eval5,density_hard,mAP,0.5775464143304989,0.00233208131819508,3,0.578
sleep,unet,density_gau,objective_e20_bs32_eval5,density_gau,mAP,0.576250804222798,0.0031392986373857193,3,0.576
sleep,unet,seg,objective_e20_bs32_eval5,seg1,mAP,0.40839222339829817,0.04274031839406506,3,0.408
sleep,unet,seg,objective_e20_bs32_eval5,seg2,mAP,0.4159158228653288,0.046826597535350824,3,0.416
sleep,unet,density_hard,objective_e20_bs32_eval5,density_hard,mf1,0.6261135188606438,0.0038841547779886318,3,0.626
sleep,unet,density_gau,objective_e20_bs32_eval5,density_gau,mf1,0.6273552186496344,0.005874896750309623,3,0.627
sleep,unet,seg,objective_e20_bs32_eval5,seg1,mf1,0.5066910431497388,0.017012551024105153,3,0.507
sleep,unet,seg,objective_e20_bs32_eval5,seg2,mf1,0.5095303293078631,0.021290987947780008,3,0.510
sleep,unet_t,density_hard,objective_e20_bs32_eval5,density_hard,mAP,0.4435571987672923,0.004237700885082291,3,0.444
sleep,unet_t,density_gau,objective_e20_bs32_eval5,density_gau,mAP,0.4363244643838118,0.03598987236778184,3,0.436
sleep,unet_t,seg,objective_e20_bs32_eval5,seg1,mAP,0.25099989012588986,0.08012773005493032,3,0.251
sleep,unet_t,seg,objective_e20_bs32_eval5,seg2,mAP,0.27518450062259,0.07698472817674841,3,0.275
sleep,unet_t,density_hard,objective_e20_bs32_eval5,density_hard,mf1,0.5124864904863567,0.007788599733333527,3,0.512
sleep,unet_t,density_gau,objective_e20_bs32_eval5,density_gau,mf1,0.51757024973612,0.029445513961607453,3,0.518
sleep,unet_t,seg,objective_e20_bs32_eval5,seg1,mf1,0.3579514329286229,0.07477926668069378,3,0.358
sleep,unet_t,seg,objective_e20_bs32_eval5,seg2,mf1,0.37181384103431075,0.07536517512489356,3,0.372
